cleist,ext,neither_freq,dim_freq,dim_bh_norm,com_freq,com_bh_norm
0,0,1,0,NaN,0,NaN
0.01,0,0.366032341273229,0.369729637649726,0.583199525338994,0.264238021077044,0.416800474661004
0.02,0,0.132619555894753,0.270652154887251,0.312033960099762,0.596728289217994,0.687966039900235
0.03,0,0.0475525079254057,0.14706961214043,0.154412304472646,0.805377879934164,0.845587695527354
0.04,0,0.0168703193588496,0.0702929973285402,0.0714992118666364,0.91283668331261,0.928500788133363
0.05,0,0.00592052922033402,0.0311606801070212,0.0313462665943413,0.962918790672645,0.968653733405659
0.06,0,0.0020548747705236,0.0131162219395123,0.0131432296304832,0.984828903289963,0.986856770369516
0.07,0,0.000705171668423612,0.00530774374082289,0.00531148925256093,0.993987084590752,0.994688510747437
0.08,0,0.000239211874656999,0.00208010325788695,0.00208060096234356,0.997680684867457,0.997919399037657
0.09,0,8.01935117590736e-05,0.000793122643771058,0.000793186252162098,0.999126683844471,0.999206813747839
0.1,0,2.65613988875876e-05,0.000295126654306529,0.000295134493491536,0.999678311946807,0.999704865506509
0.11,0,8.68961758838239e-06,0.000107399767946299,0.000107400701217321,0.999883910614466,0.999892599298783
0.12,0,2.80716031121369e-06,3.82794587892776e-05,3.82795662461567e-05,0.9999589133809,0.999961720433754
0.13,0,8.95210694658353e-07,1.33767115293777e-05,1.33767235043636e-05,0.999985728077776,0.999986623276496
0.14,0,2.81737803466571e-07,4.58642935875812e-06,4.58643065092902e-06,0.999995131832837,0.999995413569348
0.15,0,8.74767363010858e-08,1.54370711119563e-06,1.5437072462341e-06,0.999998368816152,0.999998456292753
0.16,0,2.67872793166156e-08,5.10233891745059e-07,5.10233905412837e-07,0.999999462978828,0.999999489766094
0.17,0,8.08740584563081e-09,1.65645661898462e-07,1.65645663238106e-07,0.999999826266932,0.999999834354337
0.18,0,2.40649652213248e-09,5.28255334126643e-08,5.28255335397887e-08,0.999999944767971,0.999999947174467
0.19,0,7.0550791086554e-10,1.65489509956114e-08,1.65489510072868e-08,0.999999982745542,0.999999983451049
0.2,0,2.03703597633451e-10,5.09258994083627e-09,5.09258994187365e-09,0.999999994703708,0.999999994907411
0.21,0,5.79040751015474e-11,1.5392222495348e-09,1.53922224962393e-09,0.999999998402874,0.999999998460778
0.22,0,1.61979580189169e-11,4.56865482584836e-10,4.56865482592236e-10,0.999999999526937,0.999999999543135
0.23,0,4.45730669014001e-12,1.33140329705481e-10,1.33140329706074e-10,0.999999999862402,0.99999999986686
0.24,0,1.206033102076e-12,3.80852558550315e-11,3.80852558550774e-11,0.999999999960709,0.999999999961915
0.25,0,3.2072021853815e-13,1.06906739512717e-11,1.06906739512751e-11,0.999999999988989,0.999999999989309
0.26,0,8.37860994897711e-14,2.94383592801898e-12,2.94383592801923e-12,0.999999999996973,0.999999999997056
0.27,0,2.14924543042896e-14,7.94926392076466e-13,7.94926392076483e-13,0.999999999999183,0.999999999999205
0.28,0,5.41065251157862e-15,2.10414264339169e-13,2.1041426433917e-13,0.999999999999784,0.999999999999789
0.29,0,1.3360874108179e-15,5.45725843855197e-14,5.45725843855198e-14,0.999999999999944,0.999999999999945
0.3,0,3.23447650962473e-16,1.3862042184106e-14,1.3862042184106e-14,0.999999999999985,0.999999999999986
0.31,0,7.67200847169125e-17,3.4468443858323e-15,3.4468443858323e-15,0.999999999999996,0.999999999999996
